Name                  , Size , Path                          , AbsolutePath
.DS_Store             , 6148 , ./../../.DS_Store             , 
.stfolder             , 0    , ./../../.stfolder             , 
.stignore             , 23   , ./../../.stignore             , 
.stignore.txt         , 449  , ./../../.stignore.txt         , 
091120_1408.csv       , 24862, ./../../091120_1408.csv       , 
101420_1056.csv       , 25478, ./../../101420_1056.csv       , 
android               , 8192 , ./../../android               , 
azure                 , 4096 , ./../../azure                 , 
csharp                , 0    , ./../../csharp                , 
gscanlon              , 4096 , ./../../gscanlon              , 
kotlin                , 0    , ./../../kotlin                , 
MotivationTechnologies, 0    , ./../../MotivationTechnologies, 
react                 , 4096 , ./../../react                 , 
sql                   , 0    , ./../../sql                   , 
windows               , 0    , ./../../windows               , 
